order_id,customer_id,order_date,product_category,quantity,unit_price,country
1,1310,2025-01-15,electronics,3,224.17,CA
2,1509,2025-01-14,books,5,82.8,DE
3,66,2025-01-04,electronics,2,213.22,AU
4,55,2025-03-13,apparel,5,380.46,DE
5,1207,2025-02-05,electronics,2,629.82,GB
6,570,2025-01-20,apparel,3,96.47,DE
7,199,2025-02-15,home,5,241.74,US
8,1495,2025-02-28,toys,1,875.93,DE
9,162,2025-03-12,home,5,797.47,GB
10,1183,2025-01-25,books,1,46.0,CA
11,1584,2025-02-07,electronics,2,780.49,DE
12,570,2025-02-28,books,3,150.57,GB
13,430,2025-03-27,home,1,550.16,CA
14,1094,2025-02-01,apparel,4,344.6,AU
15,450,2025-03-29,home,1,209.99,US
16,1649,2025-02-10,grocery,3,64.23,AU
17,1795,2025-02-10,apparel,4,359.08,DE
18,293,2025-02-03,apparel,2,671.76,AU
19,539,2025-03-16,grocery,5,362.45,CA
20,284,2025-03-07,grocery,1,681.42,US
21,314,2025-03-22,apparel,4,538.78,DE
22,782,2025-03-18,grocery,5,230.01,AU
23,1763,2025-01-02,books,1,615.12,AU
24,1538,2025-02-04,books,3,104.83,DE
25,324,2025-02-28,electronics,3,874.83,CA
26,1040,2025-01-14,books,3,758.28,AU
27,1248,2025-01-26,apparel,3,687.44,AU
28,1953,2025-03-09,electronics,5,295.11,US
29,230,2025-02-16,home,2,56.83,AU
30,1940,2025-01-11,electronics,4,735.33,AU
31,1569,2025-01-17,apparel,4,852.42,CA
32,543,2025-03-09,toys,4,868.09,AU
33,1547,2025-03-30,apparel,3,362.09,GB
34,898,2025-03-08,grocery,1,226.87,US
35,693,2025-01-03,toys,5,210.94,CA
36,15,2025-01-10,books,1,209.89,US
37,1761,2025-02-12,electronics,5,218.0,DE
38,439,2025-03-11,apparel,5,520.7,CA
39,1607,2025-03-02,grocery,2,89.41,DE
40,726,2025-02-24,grocery,4,778.12,US
41,1380,2025-03-25,books,1,59.24,GB
42,1640,2025-01-14,apparel,2,175.23,DE
43,288,2025-02-24,apparel,3,419.04,US
44,908,2025-03-12,electronics,1,588.66,AU
45,1713,2025-01-02,electronics,2,153.84,DE
46,986,2025-01-28,grocery,1,152.34,US
47,800,2025-02-03,grocery,3,383.58,AU
48,1356,2025-03-04,apparel,2,270.54,US
49,1187,2025-03-11,electronics,3,56.15,AU
50,977,2025-03-06,toys,2,55.9,AU
51,165,2025-01-24,electronics,5,65.81,CA
52,827,2025-01-16,toys,2,523.12,US
53,1269,2025-01-11,grocery,5,510.87,GB
54,1915,2025-02-03,apparel,3,218.61,DE
55,269,2025-03-27,books,3,414.21,US
56,20,2025-02-28,toys,5,896.5,US
57,1102,2025-01-28,toys,3,123.54,GB
58,1805,2025-01-09,apparel,3,260.05,DE
59,1708,2025-03-11,books,3,552.44,AU
60,17,2025-03-27,toys,3,838.91,US
61,1923,2025-01-18,home,1,801.28,AU
62,319,2025-02-04,home,5,193.5,GB
63,417,2025-03-29,books,3,457.33,GB
64,1855,2025-01-07,electronics,4,747.26,US
65,8,2025-02-12,apparel,3,149.61,DE
66,1130,2025-02-24,toys,1,105.12,CA
67,1118,2025-01-05,home,5,499.5,DE
68,262,2025-01-06,home,3,809.58,US
69,1841,2025-02-15,apparel,2,601.9,GB
70,1598,2025-03-13,grocery,5,675.77,CA
71,1771,2025-01-21,apparel,4,27.17,GB
72,1603,2025-02-22,books,2,243.78,US
73,784,2025-01-05,grocery,2,183.61,DE
74,717,2025-02-09,apparel,2,26.17,CA
75,817,2025-02-12,home,1,870.36,GB
76,720,2025-03-24,toys,4,613.16,AU
77,679,2025-01-04,electronics,3,164.81,GB
78,79,2025-01-14,toys,4,314.38,GB
79,894,2025-03-19,toys,1,349.74,AU
80,390,2025-02-02,electronics,4,6.5,AU
81,1407,2025-03-27,apparel,3,391.0,GB
82,1277,2025-02-10,books,1,649.17,GB
83,1039,2025-02-09,books,4,296.92,GB
84,1136,2025-01-17,apparel,4,600.1,DE
85,1388,2025-01-23,toys,5,274.34,AU
86,1708,2025-01-01,home,3,193.1,AU
87,1243,2025-03-25,home,4,400.39,CA
88,1047,2025-03-02,books,2,594.66,GB
89,1056,2025-03-26,books,5,304.98,CA
90,1378,2025-02-09,apparel,2,136.87,US
91,502,2025-03-02,toys,1,412.59,AU
92,399,2025-03-31,grocery,4,362.68,CA
93,1344,2025-03-30,electronics,1,701.68,CA
94,361,2025-03-31,toys,4,49.94,CA
95,1879,2025-01-16,grocery,2,722.26,AU
96,1145,2025-03-18,home,4,553.31,AU
97,874,2025-03-12,grocery,2,670.56,DE
98,922,2025-02-03,apparel,3,690.39,AU
99,993,2025-03-22,apparel,3,398.68,GB
100,481,2025-02-04,home,3,804.25,US
101,284,2025-01-20,apparel,4,626.08,CA
102,132,2025-02-23,grocery,3,490.63,DE
103,128,2025-01-27,grocery,4,814.82,AU
104,1938,2025-03-31,electronics,5,345.43,US
105,1931,2025-02-15,home,4,768.83,DE
106,1103,2025-03-11,toys,2,441.96,GB
107,893,2025-03-04,electronics,4,305.83,DE
108,1484,2025-01-22,grocery,2,882.74,AU
109,56,2025-02-20,toys,5,598.37,US
110,1317,2025-02-24,apparel,4,167.64,GB
111,777,2025-02-11,apparel,4,297.52,DE
112,570,2025-02-23,home,1,425.91,AU
113,107,2025-02-14,apparel,1,704.19,US
114,1545,2025-01-04,apparel,2,756.1,AU
115,313,2025-01-31,apparel,4,604.16,AU
116,1942,2025-01-28,grocery,3,691.36,CA
117,1241,2025-03-19,books,1,701.11,CA
118,1976,2025-02-09,electronics,5,27.97,GB
119,1180,2025-03-28,grocery,4,847.61,CA
120,156,2025-03-17,books,2,96.19,GB
121,1742,2025-03-29,toys,1,717.61,AU
122,1603,2025-01-06,home,5,388.39,GB
123,142,2025-03-06,books,3,16.31,DE
124,1685,2025-03-04,electronics,4,864.89,DE
125,1449,2025-01-20,grocery,2,661.74,GB
126,1262,2025-03-10,grocery,4,394.83,AU
127,550,2025-02-11,apparel,1,254.63,DE
128,500,2025-03-01,toys,5,603.02,GB
129,59,2025-03-05,home,2,441.35,GB
130,1634,2025-02-03,home,3,792.88,GB
131,1139,2025-01-02,toys,2,81.61,DE
132,1001,2025-03-13,apparel,4,583.07,DE
133,918,2025-01-03,electronics,3,203.32,CA
134,628,2025-03-26,toys,3,428.56,AU
135,705,2025-02-24,books,5,301.05,DE
136,555,2025-02-09,home,2,112.98,CA
137,647,2025-01-16,books,5,856.03,CA
138,393,2025-01-28,books,4,252.46,AU
139,1557,2025-03-09,toys,3,882.55,CA
140,607,2025-01-30,home,2,275.52,AU
141,260,2025-02-05,electronics,1,500.25,CA
142,1307,2025-03-04,electronics,1,518.78,DE
143,981,2025-02-26,home,2,869.11,GB
144,1928,2025-03-03,electronics,1,363.62,US
145,1182,2025-03-22,books,1,140.79,AU
146,1944,2025-02-08,electronics,2,111.0,DE
147,1242,2025-03-18,toys,2,699.24,DE
148,923,2025-02-26,home,5,891.07,GB
149,1165,2025-03-21,electronics,5,864.29,US
150,1941,2025-01-27,books,2,241.85,US
151,322,2025-01-31,apparel,5,72.17,US
152,837,2025-02-27,books,5,425.56,US
153,475,2025-02-06,books,3,634.16,DE
154,146,2025-03-29,apparel,3,710.1,AU
155,1355,2025-01-26,grocery,1,492.37,CA
156,1861,2025-02-04,apparel,1,58.37,GB
157,1219,2025-03-14,home,4,116.29,GB
158,1434,2025-02-21,home,5,488.27,DE
159,165,2025-03-18,electronics,4,662.4,AU
160,513,2025-01-04,electronics,2,865.9,AU
161,1203,2025-01-03,books,3,520.73,CA
162,964,2025-03-08,books,4,824.88,CA
163,1199,2025-02-25,books,4,872.29,DE
164,713,2025-02-22,home,3,604.76,CA
165,676,2025-02-22,books,4,262.94,DE
166,1667,2025-03-12,electronics,4,83.8,GB
167,663,2025-01-15,grocery,5,743.3,US
168,1347,2025-03-11,grocery,4,53.5,AU
169,741,2025-03-21,grocery,4,685.18,CA
170,547,2025-03-12,apparel,3,397.1,DE
171,249,2025-01-04,books,5,720.38,CA
172,637,2025-03-12,electronics,5,370.14,CA
173,1724,2025-01-15,grocery,1,584.69,CA
174,1021,2025-02-07,toys,3,376.85,DE
175,968,2025-02-01,grocery,5,134.44,CA
176,1888,2025-03-18,toys,2,778.29,GB
177,1583,2025-02-23,home,5,244.11,US
178,580,2025-02-08,toys,5,899.01,DE
179,1773,2025-01-20,grocery,5,438.48,GB
180,1131,2025-03-11,grocery,4,839.89,CA
181,1429,2025-01-31,toys,4,214.03,DE
182,90,2025-02-10,books,4,636.17,DE
183,791,2025-03-26,books,2,448.31,US
184,259,2025-03-06,toys,3,783.37,DE
185,205,2025-03-09,grocery,1,651.58,DE
186,1784,2025-03-25,apparel,1,425.18,GB
187,694,2025-03-21,books,4,586.59,GB
188,1746,2025-03-28,toys,4,858.94,DE
189,1787,2025-03-11,electronics,5,66.23,GB
190,466,2025-01-12,grocery,1,685.52,US
191,909,2025-01-22,books,3,813.55,US
192,665,2025-01-08,home,3,340.47,CA
193,501,2025-03-09,grocery,5,615.2,CA
194,349,2025-01-23,electronics,5,784.39,AU
195,1400,2025-01-31,grocery,5,133.08,DE
196,1307,2025-02-02,grocery,3,601.81,DE
197,1846,2025-02-06,books,5,146.38,DE
198,1936,2025-02-14,toys,3,576.84,DE
199,1414,2025-02-02,grocery,3,183.29,DE
200,1748,2025-03-03,electronics,2,346.31,GB
201,1178,2025-02-07,books,3,24.63,DE
202,563,2025-01-02,toys,1,819.99,DE
203,1706,2025-02-06,apparel,5,722.72,CA
204,1304,2025-01-25,toys,3,611.59,CA
205,1287,2025-01-13,books,1,281.48,DE
206,69,2025-03-16,home,2,85.66,GB
207,670,2025-02-23,apparel,2,123.27,AU
208,1795,2025-02-16,toys,5,822.56,CA
209,527,2025-03-03,home,3,724.78,DE
210,1973,2025-01-10,apparel,2,774.82,DE
211,1981,2025-03-13,home,1,712.65,US
212,542,2025-03-10,electronics,4,334.87,GB
213,1198,2025-02-18,books,3,101.96,CA
214,966,2025-01-04,toys,5,298.56,AU
215,454,2025-03-24,electronics,4,818.89,GB
216,1330,2025-02-22,electronics,2,45.58,US
217,624,2025-03-05,electronics,1,215.14,AU
218,278,2025-02-19,grocery,3,605.08,AU
219,859,2025-03-17,books,2,797.44,US
220,1708,2025-03-04,toys,4,845.44,GB
221,68,2025-03-30,home,2,401.82,CA
222,1752,2025-02-16,electronics,3,492.29,GB
223,125,2025-02-20,home,2,871.54,DE
224,188,2025-03-26,apparel,5,874.12,US
225,1612,2025-02-12,apparel,2,709.34,CA
226,141,2025-03-12,apparel,5,198.27,CA
227,673,2025-01-19,toys,1,253.15,CA
228,267,2025-03-11,home,2,103.37,US
229,270,2025-01-02,home,2,532.01,US
230,357,2025-02-03,electronics,2,668.83,AU
231,233,2025-01-09,grocery,4,701.32,AU
232,1216,2025-01-14,grocery,5,203.28,AU
233,89,2025-03-26,toys,3,414.94,US
234,125,2025-03-03,grocery,4,619.05,DE
235,1459,2025-02-26,electronics,1,293.28,CA
236,135,2025-01-17,home,5,571.59,AU
237,1459,2025-02-11,grocery,5,479.84,DE
238,1036,2025-03-19,grocery,1,714.81,US
239,1747,2025-03-25,books,5,650.14,CA
240,881,2025-02-27,apparel,4,308.33,DE
